# Fisheye F/2.8 87deg HFOV
# US patent 4256373 Horimoto
# Moden Lens Design, p.410
#
# Focal length (mm)  
100
#    radius	 axpos	N	aperture
417.940000	13.080000	1.7130000	320.000000
68.230000	57.530000	1.000000	136.000000
342.80000	9.810000	1.620000	150.000000
78.40000	21.620000	1.000000	132.000000
96.050000	34.60000	1.6690000	128.000000
-267.860000	4.3200000	1.000000	128.000000
-158.680000	6.180000	1.694000	116.000000
78.230000	24.710000	1.668000	108.000000
-346.890000	3.090000	1.000000	108.000000
100000.0000	9.270000	1.518000	100.000000
0.0000	8.530000	0.0000	100.000000
100000.0000	10.0000	1.000000	100.000000
100000.0000	9.270000	1.00000	85.4000000
-5285.7000	21.010000	1.497000	89.000000
-113.8000	0.620000	1.000000	100.000000
661.22000	30.890000	1.487000	104.000000
-63.5000	6.180000	1.805000	104.000000
-127.490000	0.000000	1.000000	112.000000
