# Name: wide.40deg.4.0mm
# Description: multi element lens
# Focal length (mm) 
4.000
# Each row is a surface.
# The order of surfaces starts from the image and
# heads to the sensor.  Zero is the position of the first lens surface.
# Positive numbers are towards the lens, and negative numbers are towards
# the image
#    radius	 axpos	N	aperture
5.527920	0.136000	1.504000	5.720000
2.952040	0.712000	1.000000	4.640000
6.491400	0.136000	1.487000	4.640000
2.941600	2.248000	1.000000	4.320000
3.063320	1.604000	1.720000	3.120000
1.344800	0.728000	1.607000	1.920000
-10.689480	0.128000	1.000000	1.920000
0.000000	0.128000	1.000000	1.504000
-13.855200	0.156000	1.569000	1.760000
1.677200	1.372000	1.623000	1.760000
-1.259200	0.784000	1.722000	2.000000
-3.054360	2.784000	1.000000	2.800000
-2.211160	0.500000	1.642000	4.000000
-3.744960	0.000000	1.000000	4.880000
